"","cat_a","cat_b","estado","canal","gec","lift"
"1","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",0.864197530864198
"2","AGUA SIN GAS","COLAS","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.04096854791299
"3","COLAS","COLAS","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.0462962962963
"4","AGUA SIN GAS","SABORES","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.12794612794613
"5","COLAS","NARANJADAS Y BEBIDAS","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.21164021164021
"6","AGUA SIN GAS","AGUA SIN GAS","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.48148148148148
"7","COLAS","SABORES","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.48686267436267
"8","SABORES","COLAS","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.48686267436267
"9","SABORES","SABORES","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",1.97222222222222
"10","NARANJADAS Y BEBIDAS","SABORES","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",2.73569023569024
"11","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM NA","PUNTO DE VENTA TRADICIONAL","BRONCE",3.33333333333333
"12","COLAS","COLAS","VDM Oriente","INDIRECTOS","CUSTOMIZADO",1.2879585094049
"13","COLAS","JUGOS Y NÉCTARES","VDM Oriente","INDIRECTOS","CUSTOMIZADO",1.30020938093642
"14","COLAS","SABORES","VDM Oriente","INDIRECTOS","CUSTOMIZADO",1.35097654019356
"15","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","INDIRECTOS","CUSTOMIZADO",1.39462562739913
"16","JUGOS Y NÉCTARES","SABORES","VDM Oriente","INDIRECTOS","CUSTOMIZADO",1.3997748236399
